Date, Open, High, Low, Close
11/07/11, 11983.02, 12074.44, 11880.69, 12068.39
11/04/11, 12043.41, 12043.49, 11850.31, 11983.24
11/03/11, 11835.59, 12065.93, 11835.43, 12044.47
11/02/11, 11658.49, 11876.83, 11658.49, 11836.04
11/01/11, 11951.53, 11951.76, 11630.03, 11657.96
10/31/11, 12229.22, 12229.29, 11954.41, 11955.01
10/28/11, 12207.34, 12251.92, 12164.24, 12231.11
10/27/11, 11872.07, 12284.31, 11872.07, 12208.55
10/26/11, 11707.76, 11891.21, 11694.36, 11869.04
10/25/11, 11912.63, 11912.86, 11682.52, 11706.62
10/24/11, 11807.96, 11940.75, 11805.77, 11913.62
10/21/11, 11543.22, 11812.46, 11542.84, 11808.79
10/20/11, 11502.13, 11581.25, 11391.14, 11541.78
10/19/11, 11577.54, 11633.70, 11469.17, 11504.62
10/18/11, 11396.17, 11652.74, 11296.12, 11577.05
10/17/11, 11643.35, 11643.35, 11378.35, 11397.00
10/14/11, 11478.97, 11646.83, 11478.66, 11644.49
10/13/11, 11518.09, 11518.09, 11377.82, 11478.13
10/12/11, 11417.36, 11625.30, 11417.28, 11518.85
10/11/11, 11432.80, 11447.86, 11365.67, 11416.30
10/10/11, 11104.56, 11433.33, 11104.56, 11433.18
10/07/11, 11123.41, 11232.05, 11051.13, 11103.12
10/06/11, 10939.87, 11132.60, 10858.67, 11123.33
10/05/11, 10800.47, 10950.89, 10738.10, 10939.95
10/04/11, 10651.44, 10825.44, 10404.49, 10808.71
10/03/11, 10912.10, 10979.19, 10653.34, 10655.30
09/30/11, 11152.32, 11152.39, 10909.52, 10913.38
09/29/11, 11012.79, 11271.14, 10965.45, 11153.98
09/28/11, 11189.10, 11317.08, 10996.98, 11010.90
09/27/11, 11045.23, 11369.30, 11045.23, 11190.69
09/26/11, 10771.78, 11057.49, 10771.78, 11043.86
09/23/11, 10732.77, 10808.49, 10638.73, 10771.48
09/22/11, 11121.89, 11122.12, 10597.14, 10733.83
09/21/11, 11408.58, 11447.86, 11117.28, 11124.84
09/20/11, 11401.47, 11550.22, 11373.92, 11408.66
09/19/11, 11506.67, 11506.82, 11255.25, 11401.01
09/16/11, 11433.71, 11532.47, 11407.41, 11509.09
09/15/11, 11247.72, 11433.40, 11247.49, 11433.18
09/14/11, 11106.83, 11386.78, 10993.84, 11246.73
09/13/11, 11054.99, 11140.85, 10987.18, 11105.85
09/12/11, 10990.01, 11062.03, 10824.76, 11061.12
09/09/11, 11294.60, 11294.83, 10935.64, 10992.13
09/08/11, 11414.86, 11477.30, 11283.74, 11295.81
09/07/11, 11137.63, 11414.86, 11137.63, 11414.86
09/06/11, 11237.31, 11237.46, 10932.53, 11139.30
09/02/11, 11492.06, 11492.14, 11211.35, 11240.26
09/01/11, 11613.30, 11716.84, 11488.46, 11493.57
08/31/11, 11560.48, 11712.60, 11528.08, 11613.53
08/30/11, 11532.13, 11630.07, 11429.39, 11559.95
08/29/11, 11286.65, 11541.78, 11286.58, 11539.25
08/26/11, 11145.20, 11326.43, 10929.20, 11284.54
08/25/11, 11321.02, 11406.39, 11106.76, 11149.82
08/24/11, 11175.78, 11331.57, 11113.04, 11320.71
08/23/11, 10854.58, 11176.84, 10854.43, 11176.76
08/22/11, 10820.37, 11020.55, 10820.37, 10854.65
08/19/11, 10989.75, 11086.40, 10801.41, 10817.65
08/18/11, 11406.27, 11406.50, 10881.60, 10990.58
08/17/11, 11392.01, 11529.67, 11322.30, 11410.21
08/16/11, 11480.48, 11488.01, 11292.63, 11405.93
08/15/11, 11269.85, 11484.60, 11269.85, 11482.90
08/12/11, 11143.46, 11346.67, 11142.18, 11269.02
08/11/11, 10729.85, 11278.90, 10729.85, 11143.31
08/10/11, 11228.00, 11228.00, 10686.49, 10719.94
08/09/11, 10810.91, 11244.01, 10604.07, 11239.77
08/08/11, 11433.93, 11434.09, 10809.85, 10809.85
08/05/11, 11383.98, 11555.41, 11139.00, 11444.61
08/04/11, 11893.86, 11893.94, 11372.14, 11383.68
08/03/11, 11863.74, 11904.91, 11700.34, 11896.44
08/02/11, 12129.77, 12130.30, 11865.56, 11866.62
08/01/11, 12144.22, 12282.42, 11998.08, 12132.49
07/29/11, 12239.36, 12243.07, 12083.45, 12143.24
07/28/11, 12301.72, 12384.90, 12226.83, 12240.11
07/27/11, 12498.42, 12498.65, 12289.69, 12302.55
07/26/11, 12592.12, 12593.40, 12489.04, 12501.30
07/25/11, 12679.72, 12679.95, 12536.19, 12592.80
07/22/11, 12724.71, 12740.87, 12644.19, 12681.16
07/21/11, 12567.07, 12751.43, 12566.61, 12724.41
07/20/11, 12583.68, 12603.51, 12546.56, 12571.91
07/19/11, 12386.03, 12607.56, 12385.96, 12587.42
07/18/11, 12475.11, 12475.26, 12296.23, 12385.16
07/15/11, 12437.12, 12504.82, 12406.09, 12479.73
07/14/11, 12491.53, 12581.98, 12414.41, 12437.12
07/13/11, 12447.33, 12611.04, 12447.33, 12491.61
07/12/11, 12505.54, 12570.58, 12446.88, 12446.88
07/11/11, 12655.62, 12655.84, 12470.30, 12505.76
07/08/11, 12717.90, 12717.90, 12567.41, 12657.20
07/07/11, 12627.23, 12753.89, 12627.23, 12719.49
07/06/11, 12562.47, 12643.24, 12539.21, 12626.02
07/05/11, 12583.00, 12601.80, 12540.58, 12569.87
07/04/11, 12582.77, 12582.77, 12582.77, 12582.77
07/01/11, 12412.07, 12596.13, 12404.08, 12582.77
06/30/11, 12262.25, 12427.09, 12262.10, 12414.34
06/29/11, 12187.63, 12284.39, 12175.86, 12261.42
06/28/11, 12042.28, 12190.43, 12042.28, 12188.69
06/27/11, 11934.66, 12098.81, 11934.05, 12043.56
06/24/11, 12049.24, 12057.19, 11925.42, 11934.58
06/23/11, 12108.35, 12108.73, 11874.94, 12050.00
06/22/11, 12189.71, 12207.99, 12105.85, 12109.67
06/21/11, 12081.33, 12217.33, 12081.18, 12190.01
06/20/11, 12004.28, 12099.87, 11971.29, 12080.38
06/17/11, 11962.66, 12072.89, 11962.51, 12004.36
06/16/11, 11896.13, 11990.02, 11875.77, 11961.52
06/15/11, 12075.12, 12075.20, 11862.53, 11897.27
06/14/11, 11951.38, 12120.80, 11951.38, 12076.11
06/13/11, 11945.33, 12011.66, 11917.78, 11952.97
06/10/11, 12124.17, 12124.85, 11937.42, 11951.91
06/09/11, 12049.47, 12183.12, 12049.09, 12124.36
06/08/11, 12066.27, 12098.36, 12024.26, 12048.94
06/07/11, 12090.18, 12178.89, 12066.61, 12070.81
06/06/11, 12151.19, 12151.49, 12070.66, 12089.96
06/03/11, 12247.80, 12247.87, 12104.03, 12151.26
06/02/11, 12289.61, 12306.71, 12190.54, 12248.55
06/01/11, 12569.41, 12569.49, 12282.42, 12290.14
05/31/11, 12443.40, 12574.29, 12443.40, 12569.79
05/27/11, 12398.06, 12483.81, 12397.69, 12441.58
05/26/11, 12391.63, 12441.58, 12317.92, 12402.76
05/25/11, 12355.45, 12440.03, 12309.52, 12394.66
05/24/11, 12381.57, 12422.55, 12350.04, 12356.21
05/23/11, 12511.36, 12511.36, 12331.77, 12381.26
05/20/11, 12604.72, 12604.83, 12485.86, 12512.04
05/19/11, 12561.46, 12633.59, 12533.46, 12605.32
05/18/11, 12471.78, 12571.15, 12443.10, 12560.18
05/17/11, 12541.33, 12541.33, 12378.84, 12479.58
05/16/11, 12594.77, 12642.90, 12530.81, 12548.37
05/13/11, 12695.65, 12714.50, 12543.19, 12595.75
05/12/11, 12629.96, 12718.58, 12537.17, 12695.92
05/11/11, 12745.87, 12748.21, 12577.21, 12630.03
05/10/11, 12685.13, 12781.06, 12681.65, 12760.36
05/09/11, 12637.83, 12722.07, 12620.20, 12684.68
05/06/11, 12580.76, 12759.23, 12579.93, 12638.74
05/05/11, 12723.65, 12724.56, 12521.28, 12584.17
05/04/11, 12806.29, 12806.68, 12673.02, 12723.58
05/03/11, 12806.38, 12840.66, 12749.99, 12807.51
05/02/11, 12810.16, 12876.00, 12784.62, 12807.36
04/29/11, 12763.46, 12832.83, 12751.13, 12810.54
04/28/11, 12689.90, 12776.14, 12674.54, 12763.31
04/27/11, 12592.23, 12708.37, 12588.33, 12690.96
04/26/11, 12480.86, 12613.16, 12478.14, 12595.37
04/25/11, 12505.99, 12506.22, 12446.05, 12479.88
04/21/11, 12453.62, 12506.06, 12447.56, 12505.99
04/20/11, 12266.75, 12475.53, 12263.58, 12453.54
04/19/11, 12201.44, 12275.34, 12200.30, 12266.75
04/18/11, 12339.71, 12339.79, 12093.89, 12201.59
04/15/11, 12285.45, 12369.27, 12272.58, 12341.83
04/14/11, 12270.24, 12305.58, 12163.86, 12285.15
04/13/11, 12263.65, 12335.10, 12224.45, 12270.99
04/12/11, 12381.19, 12381.19, 12233.00, 12263.58
04/11/11, 12380.43, 12444.00, 12352.88, 12381.11
04/08/11, 12409.87, 12450.36, 12320.72, 12380.05
04/07/11, 12426.45, 12440.56, 12328.36, 12409.49
04/06/11, 12386.66, 12450.93, 12386.66, 12426.75
04/05/11, 12402.08, 12438.14, 12353.34, 12393.90
04/04/11, 12374.60, 12407.41, 12369.15, 12400.03
04/01/11, 12321.02, 12419.71, 12321.02, 12376.72
03/31/11, 12350.76, 12381.68, 12319.01, 12319.73
03/30/11, 12280.07, 12383.46, 12280.07, 12350.61
03/29/11, 12194.48, 12285.41, 12173.51, 12279.01
03/28/11, 12221.19, 12272.92, 12197.88, 12197.88
03/25/11, 12170.71, 12259.79, 12170.71, 12220.59
03/24/11, 12087.54, 12191.18, 12087.54, 12170.56
03/23/11, 12018.40, 12116.14, 11972.61, 12086.02
03/22/11, 12036.37, 12050.98, 12002.85, 12018.63
03/21/11, 11860.11, 12078.30, 11860.11, 12036.53
03/18/11, 11777.23, 11927.09, 11777.23, 11858.52
03/17/11, 11614.89, 11800.54, 11614.82, 11774.59
03/16/11, 11854.20, 11856.70, 11555.48, 11613.30
03/15/11, 11988.69, 11988.69, 11696.25, 11855.42
03/14/11, 12042.13, 12042.13, 11897.31, 11993.16
